PFE,Pfizer Inc.,NYSE,"{""Company_Info"":{""CEO"":""Ian C. Read"",""Industry"":""Pharmaceuticals"",""Sector"":""Health Care"",""HQ_Location"":""New York, NY"",""Website"":""http://www.pfizer.com""}}"
NKE,"NIKE, Inc.",NYSE,"{""Company_Info"":{""CEO"":""Mark G. Parker"",""Industry"":""Apparel"",""Sector"":""Apparel"",""HQ_Location"":""Beaverton, OR"",""Website"":""http://www.nike.com""}}"
MRK,Merck & Co. Inc.,NYSE,"{""Company_Info"":{""CEO"":""Kenneth C. Frazier"",""Industry"":""Pharmaceuticals"",""Sector"":""Health Care"",""HQ_Location"":""Kenilworth, NJ"",""Website"":""http://www.merck.com""}}"
JPM,JPMorgan Chase & Co.,NYSE,"{""Company_Info"":{""CEO"":""James Dimon"",""Industry"":""Commercial Banks"",""Sector"":""Financials"",""HQ_Location"":""New York, NY"",""Website"":""http://www.jpmorganchase.com""}}"
JNJ,Johnson & Johnson,NYSE,
IBM,International Business Machines Corporation,NYSE,"{""Company_Info"":{""CEO"":""Virginia M. Rometty"",""Industry"":""Information Technology Services"",""Sector"":""Technology"",""HQ_Location"":""Armonk, NY"",""Website"":""http://www.ibm.com""}}"
INTC,Intel Corporation,NasdaqGS,"{""Company_Info"":{""CEO"":""Brian M. Krzanich"",""Industry"":""Semiconductors and Other Electronic Components"",""Sector"":""Technology"",""HQ_Location"":""Santa Clara, CA"",""Website"":""http://www.intel.com""}}"
HD,"The Home Depot, Inc.",NYSE,"{""Company_Info"":{""CEO"":""Craig A. Menear"",""Industry"":""Specialty Retailers: Other"",""Sector"":""Retailing"",""HQ_Location"":""Atlanta, GA"",""Website"":""http://www.homedepot.com""}}"
GS,"The Goldman Sachs Group, Inc.",NYSE,"{""Company_Info"":{""CEO"":""Lloyd C. Blankfein"",""Industry"":""Commercial Banks"",""Sector"":""Financials"",""HQ_Location"":""New York, NY"",""Website"":""http://www.gs.com""}}"
XOM,Exxon Mobil Corporation,NYSE,"{""Company_Info"":{""CEO"":""Rex W. Tillerson"",""Industry"":""Petroleum Refining"",""Sector"":""Energy"",""HQ_Location"":""Irving, TX"",""Website"":""http://www.exxonmobil.com""}}"
DFT,"DuPont Fabros Technology, Inc.",NYSE,
CSCO,"Cisco Systems, Inc.",NasdaqGS,"{""Company_Info"":{""CEO"":""Charles H. Robbins"",""Industry"":""Network and Other Communications Equipment"",""Sector"":""Technology"",""HQ_Location"":""San Jose, CA"",""Website"":""http://www.cisco.com""}}"
CVX,Chevron Corporation,NYSE,"{""Company_Info"":{""CEO"":""John S. Watson"",""Industry"":""Petroleum Refining"",""Sector"":""Energy"",""HQ_Location"":""San Ramon, CA"",""Website"":""http://www.chevron.com""}}"
CAT,Caterpillar Inc.,NYSE,"{""Company_Info"":{""CEO"":""Douglas R. Oberhelman"",""Industry"":""Construction and Farm Machinery"",""Sector"":""Industrials"",""HQ_Location"":""Peoria, IL"",""Website"":""http://www.caterpillar.com""}}"
BRK-A,Berkshire Hathaway Inc.,NYSE,"{""Company_Info"":{""CEO"":""Warren E. Buffett"",""Industry"":""Insurance: Property and Casualty (Stock)"",""Sector"":""Financials"",""HQ_Location"":""Omaha, NE"",""Website"":""http://www.berkshirehathaway.com""}}"
PSX,Phillips 66,NYSE,"{""Company_Info"":{""CEO"":""Greg C. Garland"",""Industry"":""Petroleum Refining"",""Sector"":""Energy"",""HQ_Location"":""Houston, TX"",""Website"":""http://www.phillips66.com""}}"
CVS,CVS Health Corporation,NYSE,"{""Company_Info"":{""CEO"":""Larry J. Merlo"",""Industry"":""Food and Drug Stores"",""Sector"":""Food & Drug Stores"",""HQ_Location"":""Woonsocket, RI"",""Website"":""http://www.cvshealth.com""}}"
MCK,McKesson Corporation,NYSE,"{""Company_Info"":{""CEO"":""John H. Hammergren"",""Industry"":""Wholesalers: Health Care"",""Sector"":""Wholesalers"",""HQ_Location"":""San Francisco, CA"",""Website"":""http://www.mckesson.com""}}"
VLO,Valero Energy Corporation,NYSE,"{""Company_Info"":{""CEO"":""Joseph Gorder"",""Industry"":""Petroleum Refining"",""Sector"":""Energy"",""HQ_Location"":""San Antonio, TX"",""Website"":""http://www.valero.com""}}"
ABC,AmerisourceBergen Corporation,NYSE,"{""Company_Info"":{""CEO"":""Steven H. Collis"",""Industry"":""Wholesalers: Health Care"",""Sector"":""Wholesalers"",""HQ_Location"":""Chesterbrook, PA"",""Website"":""http://www.amerisourcebergen.com""}}"
FNMA,Federal National Mortgage Association,NYSE,"{""Company_Info"":{""CEO"":""Timothy J. Mayopoulos"",""Industry"":""Diversified Financials"",""Sector"":""Financials"",""HQ_Location"":""Washington, DC"",""Website"":""http://www.fanniemae.com""}}"
COST,Costco Wholesale Corporation,NasdaqGS,"{""Company_Info"":{""CEO"":""W. Craig Jelinek"",""Industry"":""Specialty Retailers: Other"",""Sector"":""Retailing"",""HQ_Location"":""Issaquah, WA"",""Website"":""http://www.costco.com""}}"
KR,The Kroger Co.,NYSE,"{""Company_Info"":{""CEO"":""W. Rodney McMullen"",""Industry"":""Food and Drug Stores"",""Sector"":""Food & Drug Stores"",""HQ_Location"":""Cincinnati, OH"",""Website"":""http://www.thekrogerco.com""}}"
ESRX,Express Scripts Holding Company,NasdaqGS,"{""Company_Info"":{""CEO"":""George Paz"",""Industry"":""Health Care: Pharmacy and Other Services"",""Sector"":""Health Care"",""HQ_Location"":""St. Louis, MO"",""Website"":""http://www.express-scripts.com""}}"
MPC,Marathon Petroleum Corporation,NYSE,"{""Company_Info"":{""CEO"":""Gary R. Heminger"",""Industry"":""Petroleum Refining"",""Sector"":""Energy"",""HQ_Location"":""Findlay, OH"",""Website"":""http://www.marathonpetroleum.com""}}"
CAH,"Cardinal Health, Inc.",NYSE,"{""Company_Info"":{""CEO"":""George S. Barrett"",""Industry"":""Wholesalers: Health Care"",""Sector"":""Wholesalers"",""HQ_Location"":""Dublin, OH"",""Website"":""http://www.cardinal.com""}}"
C,Citigroup Inc.,NYSE,"{""Company_Info"":{""CEO"":""Michael L. Corbat"",""Industry"":""Commercial Banks"",""Sector"":""Financials"",""HQ_Location"":""New York, NY"",""Website"":""http://www.citigroup.com""}}"
ADM,Archer-Daniels-Midland Company,NYSE,"{""Company_Info"":{""CEO"":""Juan R. Luciano"",""Industry"":""Food Production"",""Sector"":""Food, Beverages & Tobacco"",""HQ_Location"":""Chicago, IL"",""Website"":""http://www.adm.com""}}"
WBA,"Walgreens Boots Alliance, Inc.",NasdaqGS,"{""Company_Info"":{""CEO"":""Stefano Pessina"",""Industry"":""Food and Drug Stores"",""Sector"":""Food & Drug Stores"",""HQ_Location"":""Deerfield, IL"",""Website"":""http://www.walgreensbootsalliance.com""}}"
TGT,Target Corp.,NYSE,"{""Company_Info"":{""CEO"":""Brian C. Cornell"",""Industry"":""General Merchandisers"",""Sector"":""Retailing"",""HQ_Location"":""Minneapolis, MN"",""Website"":""http://www.target.com""}}"
ANTM,"Anthem, Inc.",NYSE,"{""Company_Info"":{""CEO"":""Joseph R. Swedish"",""Industry"":""Health Care: Insurance and Managed Care"",""Sector"":""Health Care"",""HQ_Location"":""Indianapolis, IN"",""Website"":""http://www.antheminc.com""}}"
MET,"MetLife, Inc.",NYSE,"{""Company_Info"":{""CEO"":""Steven A. Kandarian"",""Industry"":""Insurance: Life, Health (stock)"",""Sector"":""Financials"",""HQ_Location"":""New York, NY"",""Website"":""http://www.metlife.com""}}"
CMCSA,Comcast Corporation,NasdaqGS,"{""Company_Info"":{""CEO"":""Brian L. Roberts"",""Industry"":""Telecommunications"",""Sector"":""Telecommunications"",""HQ_Location"":""Philadelphia, PA"",""Website"":""http://www.comcastcorporation.com""}}"
PEP,"Pepsico, Inc.",NYSE,"{""Company_Info"":{""CEO"":""Indra K. Nooyi"",""Industry"":""Food Consumer Products"",""Sector"":""Food, Beverages & Tobacco"",""HQ_Location"":""Purchase, NY"",""Website"":""http://www.pepsico.com""}}"
AIG,"American International Group, Inc.",NYSE,"{""Company_Info"":{""CEO"":""Peter D. Hancock"",""Industry"":""Insurance: Property and Casualty (Stock)"",""Sector"":""Financials"",""HQ_Location"":""New York, NY"",""Website"":""http://www.aig.com""}}"
UPS,"United Parcel Service, Inc.",NYSE,"{""Company_Info"":{""CEO"":""David P. Abney"",""Industry"":""Mail, Package, and Freight Delivery"",""Sector"":""Transportation"",""HQ_Location"":""Atlanta, GA"",""Website"":""http://www.ups.com""}}"
DOW,The Dow Chemical Company,NYSE,"{""Company_Info"":{""CEO"":""Andrew N. Liveris"",""Industry"":""Chemicals"",""Sector"":""Chemicals"",""HQ_Location"":""Midland, MI"",""Website"":""http://www.dow.com""}}"
AET,Aetna Inc.,NYSE,"{""Company_Info"":{""CEO"":""Mark T. Bertolini"",""Industry"":""Health Care: Insurance and Managed Care"",""Sector"":""Health Care"",""HQ_Location"":""Hartford, CT"",""Website"":""http://www.aetna.com""}}"
LOW,Lowe's Companies Inc.,NYSE,"{""Company_Info"":{""CEO"":""Robert A. Niblock"",""Industry"":""Specialty Retailers: Other"",""Sector"":""Retailing"",""HQ_Location"":""Mooresville, NC"",""Website"":""http://www.lowes.com""}}"
COP,ConocoPhillips,NYSE,"{""Company_Info"":{""CEO"":""Ryan M. Lance"",""Industry"":""Mining, Crude-Oil Production"",""Sector"":""Energy"",""HQ_Location"":""Houston, TX"",""Website"":""http://www.conocophillips.com""}}"
ETE,"Energy Transfer Equity, L.P.",NYSE,"{""Company_Info"":{""CEO"":""John W. McReynolds"",""Industry"":""Pipelines"",""Sector"":""Energy"",""HQ_Location"":""Dallas, TX"",""Website"":""http://www.energytransfer.com""}}"
PRU,"Prudential Financial, Inc.",NYSE,"{""Company_Info"":{""CEO"":""John R. Strangfeld Jr."",""Industry"":""Insurance: Life, Health (stock)"",""Sector"":""Financials"",""HQ_Location"":""Newark, NJ"",""Website"":""http://www.prudential.com""}}"
HUM,Humana Inc.,NYSE,"{""Company_Info"":{""CEO"":""Bruce D. Broussard"",""Industry"":""Health Care: Insurance and Managed Care"",""Sector"":""Health Care"",""HQ_Location"":""Louisville, KY"",""Website"":""http://www.humana.com""}}"
EPD,Enterprise Products Partners L.P.,NYSE,"{""Company_Info"":{""CEO"":""Michael A. Creel"",""Industry"":""Pipelines"",""Sector"":""Energy"",""HQ_Location"":""Houston, TX"",""Website"":""http://www.enterpriseproducts.com""}}"
SYY,Sysco Corporation,NYSE,"{""Company_Info"":{""CEO"":""William J. DeLaney III"",""Industry"":""Wholesalers: Food and Grocery"",""Sector"":""Wholesalers"",""HQ_Location"":""Houston, TX"",""Website"":""http://www.sysco.com""}}"
IM,Ingram Micro Inc.,NYSE,"{""Company_Info"":{""CEO"":""Alain Monie"",""Industry"":""Wholesalers: Electronics and Office Equipment"",""Sector"":""Wholesalers"",""HQ_Location"":""Santa Ana, CA"",""Website"":""http://www.ingrammicro.com""}}"
LMT,Lockheed Martin Corporation,NYSE,"{""Company_Info"":{""CEO"":""Marillyn A. Hewson"",""Industry"":""Aerospace and Defense"",""Sector"":""Aerospace & Defense"",""HQ_Location"":""Bethesda, MD"",""Website"":""http://www.lockheedmartin.com""}}"
JCI,Johnson Controls Inc.,NYSE,"{""Company_Info"":{""CEO"":""Alex A. Molinaroli"",""Industry"":""Motor Vehicles and Parts"",""Sector"":""Motor Vehicles & Parts"",""HQ_Location"":""Milwaukee, WI"",""Website"":""http://www.johnsoncontrols.com""}}"
PAGP,"Plains GP Holdings, L.P.",NYSE,"{""Company_Info"":{""CEO"":""Greg L. Armstrong"",""Industry"":""Pipelines"",""Sector"":""Energy"",""HQ_Location"":""Houston, TX"",""Website"":""http://www.plainsallamerican.com""}}"
INT,World Fuel Services Corp.,NYSE,"{""Company_Info"":{""CEO"":""Michael J. Kasbar"",""Industry"":""Wholesalers: Diversified"",""Sector"":""Wholesalers"",""HQ_Location"":""Miami, FL"",""Website"":""http://www.wfscorp.com""}}"
AAL,American Airlines Group Inc.,NasdaqGS,"{""Company_Info"":{""CEO"":""W. Douglas Parker"",""Industry"":""Airlines"",""Sector"":""Transportation"",""HQ_Location"":""Fort Worth, TX"",""Website"":""http://www.aa.com""}}"
BBY,"Best Buy Co., Inc.",NYSE,"{""Company_Info"":{""CEO"":""Hubert B. Joly"",""Industry"":""Specialty Retailers: Other"",""Sector"":""Retailing"",""HQ_Location"":""Richfield, MN"",""Website"":""http://www.bestbuy.com""}}"
DAL,"Delta Air Lines, Inc.",NYSE,"{""Company_Info"":{""CEO"":""Richard H. Anderson"",""Industry"":""Airlines"",""Sector"":""Transportation"",""HQ_Location"":""Atlanta, GA"",""Website"":""http://www.delta.com""}}"
HCA,"HCA Holdings, Inc.",NYSE,"{""Company_Info"":{""CEO"":""R. Milton Johnson"",""Industry"":""Health Care: Medical Facilities"",""Sector"":""Health Care"",""HQ_Location"":""Nashville, TN"",""Website"":""http://www.hcahealthcare.com""}}"
TSO,Tesoro Corporation,NYSE,"{""Company_Info"":{""CEO"":""Gregory J. Goff"",""Industry"":""Petroleum Refining"",""Sector"":""Energy"",""HQ_Location"":""San Antonio, TX"",""Website"":""http://www.tsocorp.com""}}"
UAL,"United Continental Holdings, Inc.",NYSE,"{""Company_Info"":{""CEO"":""Oscar Munoz"",""Industry"":""Airlines"",""Sector"":""Transportation"",""HQ_Location"":""Chicago, IL"",""Website"":""http://www.unitedcontinentalholdings.com""}}"
ORCL,Oracle Corporation,NYSE,"{""Company_Info"":{""CEO"":""Safra A. Catz"",""Industry"":""Computer Software"",""Sector"":""Technology"",""HQ_Location"":""Redwood City, CA"",""Website"":""http://www.oracle.com""}}"
MS,Morgan Stanley,NYSE,"{""Company_Info"":{""CEO"":""James P. Gorman"",""Industry"":""Commercial Banks"",""Sector"":""Financials"",""HQ_Location"":""New York, NY"",""Website"":""http://www.morganstanley.com""}}"
TSN,"Tyson Foods, Inc.",NYSE,"{""Company_Info"":{""CEO"":""Donnie Smith"",""Industry"":""Food Production"",""Sector"":""Food, Beverages & Tobacco"",""HQ_Location"":""Springdale, AR"",""Website"":""http://www.tysonfoods.com""}}"
DE,Deere & Company,NYSE,"{""Company_Info"":{""CEO"":""Samuel R. Allen"",""Industry"":""Construction and Farm Machinery"",""Sector"":""Industrials"",""HQ_Location"":""Moline, IL"",""Website"":""http://www.johndeere.com""}}"
ALL,The Allstate Corporation,NYSE,"{""Company_Info"":{""CEO"":""Thomas J. Wilson"",""Industry"":""Insurance: Property and Casualty (Stock)"",""Sector"":""Financials"",""HQ_Location"":""Northbrook, IL"",""Website"":""http://www.allstate.com""}}"
CI,Cigna Corp.,NYSE,"{""Company_Info"":{""CEO"":""David M. Cordani"",""Industry"":""Health Care: Insurance and Managed Care"",""Sector"":""Health Care"",""HQ_Location"":""Bloomfield, CT"",""Website"":""http://www.cigna.com""}}"
MDLZ,"Mondelez International, Inc.",NasdaqGS,"{""Company_Info"":{""CEO"":""Irene B. Rosenfeld"",""Industry"":""Food Consumer Products"",""Sector"":""Food, Beverages & Tobacco"",""HQ_Location"":""Deerfield, IL"",""Website"":""http://www.mondelezinternational.com""}}"
INTL,INTL FCStone Inc.,NasdaqGS,"{""Company_Info"":{""CEO"":""Sean M. O'Connor"",""Industry"":""Diversified Financials"",""Sector"":""Financials"",""HQ_Location"":""New York, NY"",""Website"":""http://www.intlfcstone.com""}}"
GM,General Motors Company,NYSE,"{""Company_Info"":{""CEO"":""Mary T. Barra"",""Industry"":""Motor Vehicles and Parts"",""Sector"":""Motor Vehicles & Parts"",""HQ_Location"":""Detroit, MI"",""Website"":""http://www.gm.com""}}"
DD,DuPont,NYSE,"{""Company_Info"":{""CEO"":""Edward Breen"",""Industry"":""Chemicals"",""Sector"":""Chemicals"",""HQ_Location"":""Wilmington, DE"",""Website"":""http://www.dupont.com""}}"
FOX,"Twenty-First Century Fox, Inc.",NasdaqGS,"{""Company_Info"":{""CEO"":""James R. Murdoch"",""Industry"":""Entertainment"",""Sector"":""Media"",""HQ_Location"":""New York, NY"",""Website"":""http://www.21cf.com""}}"
SHLD,Sears Holdings Corporation,NasdaqGS,"{""Company_Info"":{""CEO"":""Edward S. Lampert"",""Industry"":""General Merchandisers"",""Sector"":""Retailing"",""HQ_Location"":""Hoffman Estates, IL"",""Website"":""http://www.searsholdings.com""}}"
GD,General Dynamics Corporation,NYSE,"{""Company_Info"":{""CEO"":""Phebe N. Novakovic"",""Industry"":""Aerospace and Defense"",""Sector"":""Aerospace & Defense"",""HQ_Location"":""Falls Church, VA"",""Website"":""http://www.generaldynamics.com""}}"
PM,"Philip Morris International, Inc.",NYSE,"{""Company_Info"":{""CEO"":""Andr Calantzopoulos"",""Industry"":""Tobacco"",""Sector"":""Food, Beverages & Tobacco"",""HQ_Location"":""New York, NY"",""Website"":""http://www.pmi.com""}}"
TJX,"The TJX Companies, Inc.",NYSE,"{""Company_Info"":{""CEO"":""Carol M. Meyrowitz"",""Industry"":""Specialty Retailers: Apparel"",""Sector"":""Retailing"",""HQ_Location"":""Framingham, MA"",""Website"":""http://www.tjx.com""}}"
TWX,Time Warner Inc.,NYSE,"{""Company_Info"":{""CEO"":""Jeffrey L. Bewkes"",""Industry"":""Entertainment"",""Sector"":""Media"",""HQ_Location"":""New York, NY"",""Website"":""http://www.timewarner.com""}}"
M,"Macy's, Inc.",NYSE,"{""Company_Info"":{""CEO"":""Terry J. Lundgren"",""Industry"":""General Merchandisers"",""Sector"":""Retailing"",""HQ_Location"":""Cincinnati, OH"",""Website"":""http://www.macysinc.com""}}"
TECD,Tech Data Corp.,NasdaqGS,"{""Company_Info"":{""CEO"":""Robert M. Dutkowsky"",""Industry"":""Wholesalers: Electronics and Office Equipment"",""Sector"":""Wholesalers"",""HQ_Location"":""Clearwater, FL"",""Website"":""http://www.techdata.com""}}"
AVT,"Avnet, Inc.",NYSE,"{""Company_Info"":{""CEO"":""Richard Hamada"",""Industry"":""Wholesalers: Electronics and Office Equipment"",""Sector"":""Wholesalers"",""HQ_Location"":""Phoenix, AZ"",""Website"":""http://www.avnet.com""}}"
NWE,Northwestern Corporation,NYSE,"{""Company_Info"":{""CEO"":""John E. Schlifske"",""Industry"":""Insurance: Life, Health (Mutual)"",""Sector"":""Financials"",""HQ_Location"":""Milwaukee, WI"",""Website"":""http://www.northwesternmutual.com""}}"
EXC,Exelon Corporation,NYSE,"{""Company_Info"":{""CEO"":""Christopher M. Crane"",""Industry"":""Utilities: Gas and Electric"",""Sector"":""Energy"",""HQ_Location"":""Chicago, IL"",""Website"":""http://www.exeloncorp.com""}}"
QCOM,QUALCOMM Incorporated,NasdaqGS,"{""Company_Info"":{""CEO"":""Steven M. Mollenkopf"",""Industry"":""Network and Other Communications Equipment"",""Sector"":""Technology"",""HQ_Location"":""San Diego, CA"",""Website"":""http://www.qualcomm.com""}}"
IP,International Paper Company,NYSE,"{""Company_Info"":{""CEO"":""Mark S. Sutton"",""Industry"":""Packaging, Containers"",""Sector"":""Materials"",""HQ_Location"":""Memphis, TN"",""Website"":""http://www.internationalpaper.com""}}"
OXY,Occidental Petroleum Corporation,NYSE,"{""Company_Info"":{""CEO"":""Stephen I. Chazen"",""Industry"":""Mining, Crude-Oil Production"",""Sector"":""Energy"",""HQ_Location"":""Houston, TX"",""Website"":""http://www.oxy.com""}}"
DUK,Duke Energy Corporation,NYSE,"{""Company_Info"":{""CEO"":""Lynn J. Good"",""Industry"":""Utilities: Gas and Electric"",""Sector"":""Energy"",""HQ_Location"":""Charlotte, NC"",""Website"":""http://www.duke-energy.com""}}"
RAD,Rite Aid Corporation,NYSE,"{""Company_Info"":{""CEO"":""John T. Standley"",""Industry"":""Food and Drug Stores"",""Sector"":""Food & Drug Stores"",""HQ_Location"":""Camp Hill, PA"",""Website"":""http://www.riteaid.com""}}"
GILD,Gilead Sciences Inc.,NasdaqGS,"{""Company_Info"":{""CEO"":""John C. Martin"",""Industry"":""Pharmaceuticals"",""Sector"":""Health Care"",""HQ_Location"":""Foster City, CA"",""Website"":""http://www.gilead.com""}}"
BHI,Baker Hughes Incorporated,NYSE,"{""Company_Info"":{""CEO"":""Martin S. Craighead"",""Industry"":""Oil and Gas Equipment, Services"",""Sector"":""Energy"",""HQ_Location"":""Houston, TX"",""Website"":""http://www.bakerhughes.com""}}"
EMR,Emerson Electric Co.,NYSE,"{""Company_Info"":{""CEO"":""David N. Farr"",""Industry"":""Electronics, Electrical Equip."",""Sector"":""Industrials"",""HQ_Location"":""St. Louis, MO"",""Website"":""http://www.emerson.com""}}"
EMC,EMC Corporation,NYSE,"{""Company_Info"":{""CEO"":""Joseph M. Tucci"",""Industry"":""Computer Peripherals"",""Sector"":""Technology"",""HQ_Location"":""Hopkinton, MA"",""Website"":""http://www.emc.com""}}"
